search_term,tipo_gasto,grupo,categoria,subcategoria
PROESTE PRUDENTE,Variável,Custo de vida,Transporte,Manutenção
PULA PULA BRINQUEDOS,Variável,Lazer,Presente,
PUMA SPORTS LTDA.,Variável,Custo de vida,Vestuário,Roupa
PUNTO NACOES UNIDAS B,Need to check,Need to check,Need to check,Need to check
QUEEN SEMI JOIAS,Variável,Custo de vida,Bem-estar,Semi joias
QUERO CONGELADOS,Variável,Custo de vida,Alimentação,Mercado
QUITANDA E MERCEARIA O,Variável,Custo de vida,Alimentação,Mercado
RAFAELAPARECIDODE,Need to check,Need to check,Need to check,Need to check
RAFAELMARIANO,Need to check,Need to check,Need to check,Need to check
RAFFA CONFEITARIA,Variável,Custo de vida,Alimentação,Mercado
RAIA DROGASIL SA,Essencial,Custo de vida,Saúde & Bem-estar,Medicamento
RAIMUNDAMARIA,Need to check,Need to check,Need to check,Need to check
RAULFELIPE,Variável,Custo de vida,Bem-estar,Barbearia
RAYBAN *RAYBAN BRAZIL,Variável,Custo de vida,Bem-estar,Ótica
R B CAFE,Variável,Custo de vida,Alimentação,Restaurante
RCCHANALMEIDA,Need to check,Need to check,Need to check,Need to check
RCP COMERCIO DE ALIMEN,Variável,Custo de vida,Alimentação,Restaurante
RD CULTURAL LTDA,Variável,Lazer,Transporte,Viagem (Show)
R DEGANI,Need to check,Need to check,Need to check,Need to check
RD SAUDE,Essencial,Custo de vida, Saúde,Medicamento
RD SAUDE ONLINE,Essencial,Custo de vida, Saúde,Medicamento
RDSAUDE ONLINE,Essencial,Custo de vida, Saúde,Medicamento
RDSAUDE ONLI*RD SAUDE,Essencial,Custo de vida, Saúde,Medicamento
REI DO MATE,Variável,Custo de vida,Alimentação,Restaurante
REI DO MATE BENE,Variável,Custo de vida,Alimentação,Restaurante
REI DO MATE   BOULEVAR,Variável,Custo de vida,Alimentação,Restaurante
RENASS,Need to check,Need to check,Need to check,Need to check
RENATA DEGANI DE SOUZ,Need to check,Need to check,Need to check,Need to check
RENNER,Variável,Custo de vida,Vestuário,Roupa
RESTAURANTE BOB,Variável,Custo de vida,Alimento - externo,Restaurante
RESTAURANTEE,Variável,Custo de vida,Alimento - externo,Restaurante
RESTAURANTE E LANCHONE,Variável,Custo de vida,Alimento - externo,Restaurante
RESTAURANTE KAMEO,Variável,Custo de vida,Alimento - externo,Restaurante
RESTAURANTE LALAI,Variável,Custo de vida,Alimento - externo,Restaurante
REST FRANGOASSADO CAS,Variável,Custo de vida,Alimentação,Restaurante
RIACHUELO,Variável,Custo de vida,Vestuário,Roupa
RIACHUELO LO*JEANSERIA,Variável,Custo de vida,Vestuário,Roupa
RIACHUELO LO*RIACHUELO,Variável,Custo de vida,Vestuário,Roupa
RIACHUELO LO ROVITEX,Variável,Custo de vida,Vestuário,Roupa
RIACHUELO LO*ROVITEX,Variável,Custo de vida,Vestuário,Roupa
RICARDO CESAR NABAO,Need to check,Need to check,Need to check,Need to check
RI HAPPY,Variável,Lazer,Presente,Brinquedo
RIHAPPY,Variável,Lazer,Presente,Brinquedo
RI HAPPY BRINQUEDOS,Variável,Lazer,Presente,Brinquedo
RI HAPPY BRINQUEDOS SA,Variável,Lazer,Presente,Brinquedo
RODOSERVSTAR,Variável,Custo de vida,Alimentação,Restaurante
RODOSNACK CASTELO LANC,Variável,Custo de vida,Alimentação,Restaurante
RODOSNACK GG,Variável,Custo de vida,Alimentação,Restaurante
RODOSNACK TOPAZIO LANC,Variável,Custo de vida,Alimentação,Restaurante
ROSA,Need to check,Need to check,Need to check,Need to check
ROSEESPOLADOR,Need to check,Need to check,Need to check,Need to check
RRXFORNECIMENTODE,Need to check,Need to check,Need to check,Need to check
RUBIA VIEIRA DOS SANTO,Need to check,Need to check,Need to check,Need to check
RUDDY BAR E REST,Variável,Lazer,Alimentação,Bar
RUICUNACIAJUNIOR,Need to check,Need to check,Need to check,Need to check
RW NEGOCIOS COMERCIAIS,Need to check,Need to check,Need to check,Need to check
SABORES DE VARPA RESTA,Variável,Custo de vida,Alimento - externo,Restaurante
SAMS,Essencial,Custo de vida,Alimento - Mercado,Mercado
SAMS BAURU,Essencial,Custo de vida,Alimento - Mercado,Mercado
SAN MARCOS MINI MERCAD,Variável,Custo de vida,Alimentação,Mercado
SANTIAGO,Need to check,Need to check,Need to check,Need to check
SANTO FOGO BAURU,Variável,Custo de vida,Alimentação,Restaurante
SAO GERALDO TINTAS,Variável,Custo de vida,Moradia,Manutenção
S CROSS BAURU,Variável,Custo de vida,Vestuário,Roupa
SEGUROS SURA SA,Need to check,Need to check,Need to check,Need to check
SEMPRE PRESENTES,Variável,Lazer,Presente,
SEO BIGODE BAR,Variável,Lazer,Alimentação,Bar
SEO MANDA,Variável,Lazer,Alimentação,Restaurante
SEOMANDA,Variável,Lazer,Alimentação,Restaurante
SEO MANDA RESTAURANTE,Variável,Custo de vida,Alimento - externo,Restaurante
SERVICOS CLA*149880217,Essencial,Custo de vida,Moradia,Recarga Celular
SERVICOS CLA*149881605,Essencial,Custo de vida,Moradia,Recarga Celular
SESI SERVICO SOCIAL DA,Essencial,Custo de vida,Conhecimento,SESI
SHEILA E P DOMINGUES M,Need to check,Need to check,Need to check,Need to check
SHEIN.COM*SHEINCOM,Variável,Custo de vida,Compra online,Shein
SHEIN  *SHEIN.COM,Variável,Custo de vida,Compra online,Shein
SHOPEE *BELAANTENADA,Variável,Custo de vida,Compra online,Shein
SHOPEE *BRINCARBRINQUE,Variável,Custo de vida,Compra online,Shein
SHOPEE *LUCCAFASHION,Variável,Custo de vida,Compra online,Shein
SHOPEE*SHOPEE*XHLELETR,Variável,Custo de vida,Compra online,Shein
SHOPEE *YISLALY,Variável,Custo de vida,Compra online,Shein
SHOPPING DA LIMPEZA,Variável,Custo de vida,Alimento & Mercado,Mercado
SIGMA ESCOLA DANCA,Variável,Lazer,Saúde & Bem-esttar,Aula de dança
SILVANA ALMEIDA GODIN,Need to check,Need to check,Need to check,Need to check
SILVIADESOUZA,Need to check,Need to check,Need to check,Need to check
SILVIAMADALENA,Need to check,Need to check,Need to check,Need to check
SIMONE YOSHIKO UMETSU,Essencial,Custo de vida, Saúde & Bem-estar,Dentista
